     T,      X,      Y
  0.02,  -0.24,   0.24 
  0.05,  -0.49,   0.00 
  0.08,  -0.49,   0.00 
  0.10,  -0.49,   0.00 
  0.12,  -0.24,  -0.24 
  0.14,  -0.24,   0.00 
  0.16,   0.00,   0.00 
  0.18,  -0.49,   0.00 
  0.20,  -0.49,  -0.24 
  0.23,  -0.24,   0.00 
  0.25,  -0.49,   0.24 
  0.27,  -0.24,   0.00 
  0.29,   0.00,   0.00 
  0.31,  -0.49,   0.00 
  0.33,  -0.24,   0.00 
  0.35,  -0.24,   0.00 
  0.37,  -0.49,   0.24 
  0.39,  -0.24,   0.00 
  0.42,  -0.24,  -0.24 
  0.44,  -0.24,   0.24 
  0.46,  -0.24,   0.00 
  0.48,  -0.24,   0.00 
  0.50,  -0.49,   0.00 
  0.52,   0.00,   0.00 
  0.54,  -0.24,  -0.24 
  0.56,   0.00,   0.00 
  0.59,  -0.49,  -0.24 
  0.61,  -0.49,  -0.24 
  0.63,  -0.24,   0.00 
  0.65,  -0.24,   0.00 
  0.67,  -0.24,   0.00 
  0.69,  -0.24,  -0.24 
  0.71,  -0.24,   0.00 
  0.73,  -0.24,   0.00 
  0.75,  -0.24,  -0.24 
  0.78,  -0.24,  -0.24 
  0.80,  -0.24,  -0.24 
  0.82,  -0.24,  -0.24 
  0.84,  -0.24,   0.00 
  0.86,  -0.49,  -0.49 
  0.88,  -0.49,   0.00 
  0.90,  -0.24,   0.00 
  0.92,  -0.24,   0.00 
  0.94,  -0.24,  -0.24 
  0.97,  -0.49,   0.00 
  0.99,  -0.24,   0.00 
  1.01,  -0.49,   0.00 
  1.03,  -0.24,   0.00 
  1.05,  -0.49,   0.00 
  1.07,  -0.24,   0.24 
  1.09,  -0.24,   0.00 
  1.11,  -0.24,   0.00 
  1.13,  -0.24,   0.24 
  1.16,  -0.24,  -0.24 
  1.18,  -0.24,  -0.24 
  1.20,  -0.48,   0.00 
  1.22,  -0.48,   0.00 
  1.24,  -0.24,   0.00 
  1.26,   0.00,   0.00 
  1.28,  -0.24,   0.00 
  1.30,  -0.48,   0.00 
  1.32,  -0.49,   0.00 
  1.35,  -0.24,   0.00 
  1.37,  -0.73,   0.24 
  1.39,  -0.24,   0.00 
  1.41,  -0.24,   0.00 
  1.43,  -0.25,   0.00 
  1.45,  -0.24,  -0.24 
  1.47,  -0.24,   0.00 
  1.49,  -0.24,   0.00 
  1.52,  -0.24,   0.00 
  1.54,  -0.24,   0.00 
  1.56,  -0.24,  -0.24 
  1.58,   0.00,   0.00 
  1.60,  -0.24,   0.00 
  1.62,  -0.24,   0.00 
  1.64,  -0.24,   0.00 
  1.66,   0.00,  -0.24 
  1.68,  -0.24,   0.00 
  1.71,   0.00,   0.00 
  1.73,  -0.24,   0.24 
  1.75,   0.00,   0.00 
  1.77,  -0.24,  -0.24 
  1.79,  -0.24,  -0.24 
  1.81,  -0.24,   0.00 
  1.84,  -0.24,  -0.24 
  1.86,  -0.24,   0.00 
  1.88,  -0.24,   0.00 
  1.91,  -0.24,  -0.24 
  1.93,  -0.24,   0.00 
  1.95,  -0.48,  -0.24 
  1.97,  -0.24,   0.00 
  1.99,  -0.24,   0.00 
  2.01,  -0.48,   0.00 
  2.04,  -0.25,   0.25 
  2.06,  -0.24,   0.24 
  2.08,  -0.24,   0.24 
  2.10,  -0.24,   0.00 
  2.12,  -0.49,   0.24 
  2.15,  -0.48,   0.00 
  2.17,  -0.24,   0.00 
  2.19,  -0.24,  -0.24 
  2.21,  -0.72,  -0.24 
  2.23,  -0.24,   0.00 
  2.26,  -0.24,  -0.24 
  2.28,  -0.24,   0.00 
  2.30,  -0.24,   0.00 
  2.32,  -0.24,   0.00 
  2.34,  -0.24,   0.00 
  2.36,  -0.48,  -0.24 
  2.38,   0.00,   0.00 
  2.41,  -0.48,   0.00 
  2.43,  -0.49,   0.00 
  2.45,  -0.24,   0.00 
  2.47,  -0.24,   0.00 
  2.49,  -0.49,   0.00 
  2.51,   0.00,  -0.24 
  2.53,  -0.24,   0.24 
  2.55,  -0.24,   0.24 
  2.58,  -0.49,   0.00 
  2.60,  -0.24,   0.00 
  2.62,  -0.24,   0.00 
  2.64,  -0.48,   0.00 
  2.66,   0.00,   0.00 
  2.68,  -0.24,   0.00 
  2.70,  -0.49,   0.00 
  2.72,  -0.49,   0.00 
  2.75,  -0.49,   0.24 
  2.77,  -0.24,   0.00 
  2.79,  -0.24,   0.00 
  2.81,  -0.24,   0.00 
  2.83,  -0.49,  -0.24 
  2.85,  -0.24,   0.00 
  2.87,  -0.49,   0.00 
  2.89,  -0.24,   0.00 
  2.91,  -0.24,   0.00 
  2.93,  -0.49,   0.00 
  2.96,  -0.24,   0.00 
  2.98,  -0.49,   0.00 
  3.00,  -0.49,   0.00 
  3.02,  -0.24,  -0.24 
  3.04,  -0.24,   0.00 
  3.06,  -0.24,   0.00 
  3.08,  -0.24,  -0.24 
  3.11,  -0.49,   0.00 
  3.13,   0.00,   0.00 
  3.15,  -0.24,   0.00 
  3.17,  -0.24,   0.00 
  3.19,  -0.24,  -0.24 
  3.21,  -0.48,   0.00 
  3.23,  -0.49,   0.00 
  3.25,  -0.24,  -0.24 
  3.28,  -0.24,   0.00 
  3.30,  -0.24,   0.00 
  3.32,  -0.24,   0.00 
  3.34,  -0.49,   0.00 
  3.36,  -0.24,   0.00 
  3.38,  -0.49,   0.00 
  3.41,  -0.48,  -0.24 
  3.43,  -0.24,   0.00 
  3.45,  -0.24,   0.00 
  3.48,  -0.24,   0.00 
  3.50,  -0.24,  -0.24 
